,Date / Time,City,State,Shape,Shape,views
354,2/27/98 22:10,Bangor,ME,Flash,Flash,1684
355,2/27/98 22:00,Bellville,OH,Circle,Circle,9315
356,2/27/98 19:35,Hesperia,CA,Fireball,Fireball,7536
357,2/26/98 22:30,Tallahassee,FL,Triangle,Triangle,8330
358,2/26/98 20:30,Colorado Springs,CO,Fireball,Fireball,7536
359,2/26/98 19:09,Ontario,NY,Disk,Disk,4300
360,2/25/98 20:00,Nashville,TN,Fireball,Fireball,7536
361,2/25/98 11:25,Harrisburg,PA,Cigar,Cigar,1896
362,2/25/98 05:45,"Stouthill (community, nearest city 30 miles, TN)",TN,Cylinder,Cylinder,1370
363,2/25/98 03:00,Phoenix,AZ,Light,Light,18879
364,2/24/98 23:00,Licking,MO,Light,Light,18879
365,2/24/98 17:00,Houston,TX,Cigar,Cigar,1896
366,2/23/98 07:30,Wyoming,MI,Changing,Changing,2275
367,2/23/98 05:30,Ossipee,NH,Light,Light,18879
368,2/21/98 20:00,Halifax,NC,Circle,Circle,9315
369,2/21/98 17:50,Tappahannock,VA,Circle,Circle,9315
370,2/21/98 11:30,Nokomis,FL,Sphere,Sphere,5884
371,2/20/98 22:57,Columbus,OH,Triangle,Triangle,8330
372,2/20/98 20:30,Kalispell,MT,Light,Light,18879
373,2/20/98 19:00,Kerrville,TX,Changing,Changing,2275
374,2/20/98 11:30,Fairfield,CA,Disk,Disk,4300
375,2/19/98 19:05,Fairfax,VA,Triangle,Triangle,8330
376,2/19/98 00:01,Amherst (near High Peak),VA,Triangle,Triangle,8330
377,2/18/98 23:00,Orlando,FL,Triangle,Triangle,8330
378,2/18/98 21:30,Mobile,AL,Circle,Circle,9315
379,2/17/98 16:00,Moreno Valley,CA,Sphere,Sphere,5884
380,2/16/98 18:52,Auburn,WA,Fireball,Fireball,7536
381,2/15/98 23:35,Toledo/Maumee,OH,Other,Other,5932
382,2/15/98 23:30,Blackfoot,ID,Flash,Flash,1684
383,2/15/98 19:30,Duluth,MN,Flash,Flash,1684
384,2/15/98 12:00,Yakima,WA,Changing,Changing,2275
385,2/15/98 08:00,San Jose,CA,Cigar,Cigar,1896
386,2/14/98 22:50,Glen Burnie,MD,Oval,Oval,3862
387,2/14/98 10:45,Rocky Mount,NC,Disk,Disk,4300
388,2/14/98 05:00,Oceanside,CA,Chevron,Chevron,1041
389,2/13/98 20:00,Crestone,CO,Light,Light,18879
390,2/12/98 22:15,"Sharon (to Brookfield, OH)",PA,Changing,Changing,2275
391,2/12/98 18:20,Snohomish,WA,Oval,Oval,3862
392,2/12/98 17:10,Merritt Parkway (about Exit 38),CT,Light,Light,18879
393,2/12/98 12:35,Shelby County airport (@231 mile marker),AL,Cigar,Cigar,1896
394,2/11/98 22:15,Burdett,NY,Other,Other,5932
395,2/10/98 21:00,Londonderry,NH,Light,Light,18879
396,2/10/98 21:00,Callicoon,NY,Oval,Oval,3862
397,2/10/98 20:00,Laguna Niguel,CA,Sphere,Sphere,5884
398,2/10/98 20:00,Danbury,CT,Cylinder,Cylinder,1370
399,2/10/98 00:30,Sunnyvale,CA,Other,Other,5932
400,2/9/98 23:30,Crescent City,CA,Rectangle,Rectangle,1436
401,2/9/98 00:15,Austin,TX,Circle,Circle,9315
402,2/8/98 19:20,Moundsville,WV,Light,Light,18879
403,2/7/98 11:00,Twenty Nine Palms,CA,Other,Other,5932
404,2/6/98 19:06,Webster,TX,Light,Light,18879
405,2/6/98 19:00,Emporia,KS,Light,Light,18879
406,2/6/98 02:45,Graham,WA,Light,Light,18879
407,2/6/98 00:00,Worcester,MA,Fireball,Fireball,7536
408,2/5/98 20:30,Gratis,OH,Triangle,Triangle,8330
409,2/5/98 07:11,Hart,MI,Fireball,Fireball,7536
410,2/5/98 00:45,Memphis,TN,Triangle,Triangle,8330
411,2/3/98 18:50,Portage,MI,Sphere,Sphere,5884
412,2/3/98 02:45,Apache Junction (southeast of),AZ,Other,Other,5932
413,2/2/98 22:23,Aurora,CO,Light,Light,18879
414,2/2/98 19:00,Fort Cambell (25 or 30 mi. nw),KY,Light,Light,18879
415,2/1/98 15:00,East Los Angeles,CA,Triangle,Triangle,8330
416,2/1/98 01:00,Newbury Park,CA,Chevron,Chevron,1041
417,2/1/98 00:30,Four Corners,NM,Other,Other,5932
